country,hazard,rp,0
Armenia,earthquake,0.5,0.00017322655729786312
Armenia,earthquake,1.0,0.00038896318490400995
Armenia,earthquake,1.5,0.0005799372200234502
Armenia,earthquake,2.0,0.0007490884788958273
Armenia,earthquake,3.0,0.0011063699911517404
Armenia,earthquake,5.0,0.0017608852378673072
Armenia,earthquake,10.0,0.0036423903236557156
Armenia,earthquake,20.0,0.007320311991014236
Armenia,earthquake,50.0,0.016655277638235585
Armenia,earthquake,100.0,0.033839050642608906
Armenia,earthquake,250.0,0.05580889708499444
Armenia,earthquake,500.0,0.08517342365619826
Armenia,earthquake,1000.0,0.11615358185753598
Armenia,earthquake,1500.0,0.14507993018490042
Armenia,earthquake,2000.0,0.16548078907050862
Armenia,earthquake,4000.0,0.19317663395851567
Armenia,earthquake,5000.0,0.2038147286649448
Armenia,earthquake,30000.0,0.3545754477729222
Armenia,flood,3.0,1.5448457495839738e-06
Armenia,flood,5.0,0.000230070188669664
