country,gdp_pc_pp,gdp_pc_pp_B,gdp_pc_pp_2015_1,gdp_pd_pp_2005,pop,share1,share1_orig,urbanization_rate,axfin_p,axfin_r,social_p,social_r
Singapore,80892.06484,81443.35646,,80191.53931,5535002,,,1,0.4292485,0.4872643,,
Sint Maarten (Dutch part),,,28308.87977,36327.2319,38817,,,1,,,,
Slovak Republic,28308.87977,29212.3782,29037.74168,27394.19738,5424050,0.085,0.0862,0.53598,0.3311596,0.5120568,0.322288085,0.252300502
Slovenia,29037.74168,29930.03704,20544.62565,28941.86586,2063768,0.096,0.0943,0.4965,0.2409204,0.3861343,,
Small states,20544.62565,20503.34481,2053.438806,20762.68237,38050062,,,0.538948927,,,,
Solomon Islands,2053.438806,2072.710578,,2057.555707,583591,0.07,0.0497,0.22329,,,0.057085696,0.067166426
Somalia,,,12362.58381,,10787104,,,0.39551,0.003747235,0.04457126,,
South Africa,12362.58381,12236.83195,5331.426266,12389.95681,54956920.37,0.024,0.0247,0.64801,0.2110501,0.4081099,0.732735956,0.154255498
South Asia,5331.426266,5623.111527,5331.426266,5321.437377,1744161298,,,0.330282153,0.0667721,0.1664882,,
South Asia (IDA & IBRD),5331.426266,5623.111527,1808.161714,5321.437377,1744161298,,,0.330282153,,,,
South Sudan,1808.161714,,32291.1552,1741.098114,12339812,0.039,,0.18804,,,,
Spain,32291.1552,33320.03511,11196.39687,32814.45207,46418269,0.058,0.0576,0.79579,0.3559562,0.5667167,,
Sri Lanka,11196.39687,11639.30965,24169.85979,11047.66697,20966000,0.071,0.0727,0.18356,0.2143086,0.3952671,0.071179104,0.089486117
St. Kitts and Nevis,24169.85979,24463.61761,11954.36122,22934.46049,55572,,,0.32047,,,,
St. Lucia,11954.36122,12010.50151,,10343.56425,184999,,,0.18504,,,,
St. Martin (French part),,,10447.52839,,31754,,,,,,,
St. Vincent and the Grenadines,10447.52839,10623.38552,3492.602764,10379.08651,109462,,,0.5055,,,,
Sub-Saharan Africa,3492.602764,3453.074932,3490.556623,3477.283476,1000980981,,,0.377393621,,,,
Sub-Saharan Africa (IDA & IBRD countries),3490.556623,3450.979115,3492.602764,3477.283476,1000980981,,,0.377393621,,,,
Sub-Saharan Africa (excluding high income),3492.602764,3453.074932,4290.372249,3475.224059,1000888081,,,0.377378633,,,,
Sudan,4290.372249,4386.352577,14766.79918,3927.488294,40234882,0.068,0.0682,0.33806,0.03672906,0.1002178,,
Suriname,14766.79918,13877.98601,7758.495563,15970.34328,542975,,,0.66043,,,,
Swaziland,7758.495563,7723.641059,45679.278,7930.358126,1286970,0.04,0.04,0.21308,0.09158991,0.2348936,,
Sweden,45679.278,46568.17715,57264.1574,45296.45618,9798871,0.082,0.087,0.85815,0.6662128,0.8096492,,
Switzerland,57264.1574,57427.89254,,55111.97693,8286976,0.078,0.0809,0.73912,0.4604134,0.6177222,,
Syrian Arab Republic,,,2640.58952,4959.392523,18502413,,0.0765,0.57656,0.04674114,0.05367074,0.044907746,0.122552925
Tajikistan,2640.58952,2762.585453,2490.957101,2616.191272,8481855,0.074,0.0835,0.26782,0.006333107,0.02125592,,
Tanzania,2490.957101,2583.589673,15236.70646,2510.235057,53470420,0.074,0.0737,0.31608,0.04258187,0.1217031,0.145171981,0.07101361
Thailand,15236.70646,15683.03242,1920.150472,15345.35559,67959359,0.069,0.0665,0.50374,0.3132831,0.4691411,0.303525562,0.269525356
