country,_dw_tot_curr,_bbb_complete1_dw_tot_curr,_bbb_incl1_dw_tot_curr,_bbb_fast1_dw_tot_curr,_bbb_fast2_dw_tot_curr,_bbb_fast4_dw_tot_curr,_bbb_fast5_dw_tot_curr,_bbb_50yrstand1_dw_tot_curr
Sweden,51523035.57890919,41454265.83737775,49485515.96565214,43549719.255103804,47609869.66915169,55297072.37722135,58939281.37638246,51394930.522029854
Switzerland,886906908.0917662,758025340.5775679,880266625.3111973,775550454.7465274,832235909.0943143,939669302.0086248,990621635.4503856,874145388.407112
Tajikistan,525088083.2237713,265183834.967292,467992358.29606634,440143014.34039015,483377716.68163484,565353517.2338182,604247989.1293339,361857434.5534908
Tanzania,603307660.0675392,457914225.5494356,576719190.4893008,498117149.4057281,551473057.7281024,653687126.3883373,702673731.6312405,584341811.0979484
Thailand,10767349715.941189,6368404990.637164,9071506426.767546,9572524397.643705,10180469827.496626,11334246257.53735,11882168396.82363,8592310991.686478
Timor-Leste,28393415.634547327,21797687.842219446,25141841.87885795,27155343.078906097,27785312.572021194,28980773.59468063,29548432.251409527,25745347.934231255
Togo,54876880.870177776,34798356.76706434,44659817.55291661,46007977.59348371,50495532.87491781,59156021.22896708,63336740.75334282,52522229.575552866
Tonga,32935042.902444907,14442696.2811353,30544935.658342004,27960975.909847546,30488648.75526336,35304048.204708345,37599308.28739983,18437550.190812998
Trinidad and Tobago,738183365.388983,274026853.9382673,702270728.1307126,490121071.3817267,616207327.6082017,856248862.5498496,970590649.4538352,444695207.799592
Tunisia,613269293.8169872,361963679.7061454,453024689.4859068,544073858.9757917,579231650.2636427,646240385.3321245,678195101.6955564,570333867.8372669
Turkey,9981996115.237194,6927191836.04211,9355058382.854391,8194779675.953562,9103580795.713694,10831535466.053064,11653609591.098375,9118169192.76786
Uganda,219744535.01663676,147493622.6747562,201866622.84799775,169441727.3588696,194974133.40381843,243787229.62173763,267134446.78575808,212511970.9244533
Ukraine,2742153820.4304833,1999076398.5134003,2418078185.1080456,2465761668.8084617,2606367907.654772,2873365125.690304,3000230993.470543,2540709721.893416
United Kingdom,1821997866.7574406,1520921508.581462,1769234976.3412158,1584211397.4347506,1705319164.7890015,1934486441.6618605,2043006960.468542,1808602425.9801872
United States,62341936629.25302,51677543640.0664,61094531865.43296,53618472601.75992,58049187825.05551,66503302689.500275,70539445898.91173,61488950333.38321
Uruguay,55074420.750335015,41373056.99599993,48706244.97791672,47996195.672703505,51598263.225642584,58431193.40025151,61674660.41526418,54558029.70631646
Vanuatu,76524778.81482196,30164665.07610703,67921703.47388217,66927879.26546707,71807456.04916462,81087841.06841265,85504117.57203759,39516618.13204988
Vietnam,10848287305.905499,5558839113.255353,9739325483.613705,9588314458.017616,10229275876.518133,11446460990.94106,12024835040.210659,7116101592.114773
"Yemen, Rep.",419914042.290453,313669277.4024701,363821013.15053505,381770052.6966025,401157559.20408183,438069972.6478284,455653880.1674429,402253078.0706929
Zambia,216045903.20697117,143056943.95532492,188258657.5656289,174409213.50231588,195545855.6053528,235938404.68673295,255250628.44804084,208993996.20634168
Zimbabwe,15943203.522482865,5905183.558594172,15932525.191031085,5988529.464231159,11029628.59469248,20734415.869130276,25408132.738606747,15742264.143864911
