Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Bulgaria,163822,212.93,0.13,520.4,0.32,956.95,0.58,1986.08,1.21,3169.52,1.93,4718.14,2.88,5773.91,3.52,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,307.1859186,0.187512006,471.8364113,0.288017733,664.6514598,0.40571563,892.408322,0.544742661,1053.498138,0.643074885,1262.171496,0.770452989,1427.856098,0.871589956
Burkina Faso,24689.4,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,180.8045051,0.732316318,248.2537241,1.005507319,309.0302915,1.251671938,323.5250614,1.310380412,347.6830113,1.408227868,395.998911,1.603922781,409.8255564,1.659925136
Burundi,3616.17,7.55,0.21,20.95,0.58,48.99,1.35,136.29,3.77,257.15,7.11,426.39,11.79,546.02,15.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25.55381803,0.706654223,45.41013706,1.255752275,49.16012534,1.359452828,59.53028585,1.646224758,59.53637575,1.646393166,59.54855554,1.646729981,59.56073533,1.647066795
Cabo Verde,7137.79,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.87,0.01,7.06,0.1,10.22,0.14,11.99,0.17,12.73,0.18,13.46,0.19,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Cambodia,27390.5,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.14,0,0.24,0,0.33,0,0.35,0,0.4,0,0.44,0,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1422.574628,5.193678931,2431.897475,8.878616582,2868.209819,10.47154969,3501.977304,12.78537195,4147.774207,15.14311242,4300.681818,15.70136295,4453.589428,16.25961347
Cameroon,81683.7,23.02,0.03,65.3,0.08,139,0.17,415.93,0.51,878.01,1.07,1630.88,2,2197.74,2.69,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,821.808095,1.006085786,1633.131824,1.99933625,1982.095157,2.426549185,2535.314868,3.103819818,3058.659815,3.744516733,3267.820161,4.000578035,3476.980507,4.256639338
Canada,6291920,700.03,0.01,1889.1,0.03,4124.56,0.07,10699.69,0.17,19504.21,0.31,32092.87,0.51,41279.08,0.66,529.83,0.01,1339.33,0.02,2167.85,0.03,2857.12,0.05,3472.24,0.06,3790.75,0.06,3965.29,0.06,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,7446.200104,0.118345435,14467.65571,0.229940236,24806.33713,0.394257033,67236.01291,1.068608833,99714.13167,1.584796559,186126.1674,2.95817759,237290.4557,3.771352079
Cayman Islands,8554.03,3.65,0.04,16.42,0.19,49.25,0.58,173.93,2.03,348.98,4.08,583.32,6.82,742.22,8.68,1627.1,19.02,4244.32,49.62,---,---,---,---,---,---,---,---,---,---,417.31,4.88,911.45,10.66,1368.18,15.99,1818.12,21.25,2054.46,24.02,2186.97,25.57,2319.47,27.12,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Central African Republic,3893.74,1.13,0.03,3.04,0.08,5.9,0.15,15.4,0.4,31.4,0.81,59.92,1.54,84.25,2.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,55.40311459,1.422876581,98.27965432,2.524042548,112.0937873,2.878820551,133.3979385,3.425959065,140.3000845,3.603221697,140.3002943,3.603227085,140.3005041,3.603232473
Chad,26745.1,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,317.2142229,1.186064823,512.1962404,1.915103105,610.4012754,2.282291991,800.2157454,2.992008799,1015.929467,3.798562979,1281.022096,4.789745023,1396.23628,5.220531162
