Country,EXPOSED VALUE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,EARTHQUAKE,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,WIND,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,STORM SURGE,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,TSUNAMI,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods,Riverine floods
Country,National,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500,20,20,50,50,100,100,250,250,500,500,1000,1000,1500,1500
Country,million US$,million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%],million US$,[%]
Philippines,566949,2472.78,0.44,4926.74,0.87,7671.05,1.35,12925.88,2.28,19062.02,3.36,27735.79,4.89,33693.25,5.94,13456.31,2.37,18350.42,3.24,21890.05,3.86,26833.42,4.73,29207.14,5.15,32395.48,5.71,35583.82,6.28,2485.84,0.44,3118.53,0.55,3827.86,0.68,4008.12,0.71,4308.56,0.76,4909.43,0.87,5040.6,0.89,46.77,0.01,112.12,0.02,304.05,0.05,1486.56,0.26,3058.34,0.54,5650.38,1,8916.96,1.57,1698.11403,0.299517951,3701.903759,0.65295181,6277.509479,1.107244122,27485.05976,4.847889274,30652.63987,5.406595632,36042.81172,6.35732874,38185.05111,6.735182725
Poland,1614720,695.97,0.04,1424.76,0.09,2432.29,0.15,4773.22,0.3,7684.18,0.48,11923.09,0.74,15105.08,0.94,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1854.301325,0.114837329,4524.761672,0.280219584,11675.47962,0.723065276,18840.98375,1.166826679,32697.19821,2.02494539,42604.34038,2.6384971,43280.59956,2.680377995
Portugal,1054340,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,311.5076026,0.02954527,1247.697068,0.118339157,3154.486119,0.299190595,4503.348085,0.427124844,5729.6931,0.543438843,8893.356135,0.843499833,12356.66497,1.171981047
Puerto Rico,259030,1298.04,0.5,3468.98,1.34,6205.45,2.4,11407.47,4.4,16652.66,6.43,22623.96,8.73,26025.56,10.05,16326.16,6.3,48439,18.7,99156.8,38.28,155361.35,59.98,157946.43,60.98,163116.58,62.97,168286.73,64.97,1674.25,0.65,3162.75,1.22,5430.53,2.1,8170.41,3.15,9207.43,3.55,10585.82,4.09,11448.11,4.42,---,---,---,---,---,---,---,---,14.68,0.01,320,0.12,969.95,0.37,---,---,---,---,1.397040128,0.000539335,55.44397727,0.021404462,1761.461012,0.68002201,2725.194538,1.052076801,3646.313916,1.407680159
Qatar,624818,276.9,0.04,450.54,0.07,656,0.1,1135.46,0.18,1822.88,0.29,2955.51,0.47,3867.45,0.62,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5.600966789,0.000896416,7.308167815,0.001169647,11.04980321,0.001768483,18.98013137,0.003037706
Republic of Korea,5538600,---,---,---,---,---,---,---,---,---,---,---,---,---,---,339.87,0.01,849.52,0.02,1105.13,0.02,1408.73,0.03,1499.89,0.03,1680.13,0.03,1860.37,0.03,32448.8,0.59,44607.99,0.81,50115.44,0.9,58999.94,1.07,60040.48,1.08,62121.55,1.12,64202.62,1.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,905.2051544,0.016343573,14087.94738,0.254359358,40900.00807,0.738453907,149443.1115,2.698210946,205896.084,3.717475246,354214.5127,6.395379928,479137.936,8.650885351
Republic of Moldova,33762.7,6.56,0.02,16.44,0.05,35.81,0.11,102.73,0.3,211.72,0.63,397.43,1.18,550.36,1.63,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,551.0719353,1.632191546,1278.3477,3.786272128,1743.863661,5.165059847,2407.845788,7.131674269,2861.503361,8.475339239,3152.210162,9.336368722,3442.916963,10.1973982
Reunion,67897.7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,148.76,0.22,2696.57,3.97,3951.13,5.82,5041.84,7.43,5918.78,8.72,6307.5,9.29,6696.21,9.86,32.15,0.05,532.52,0.78,686.71,1.01,881.78,1.3,1059.41,1.56,1147.21,1.69,1235.02,1.82,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Romania,555697,833.92,0.15,1977.69,0.36,3564.6,0.64,7088.18,1.28,11359.32,2.04,17100.22,3.08,21264.65,3.83,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2819.114667,0.507311478,5227.958652,0.940793031,7463.790091,1.343140253,9511.07494,1.711557727,11317.03715,2.036548182,12327.34139,2.218356656,13337.64563,2.400165131
Russian Federation,6325790,771.35,0.01,1652.89,0.03,2623.62,0.04,4361.08,0.07,5991.27,0.09,7901.44,0.12,9189.73,0.15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,18590.56974,0.293885345,41832.24808,0.66129682,65985.52777,1.043119164,98944.83395,1.564149837,123549.1734,1.95310267,156077.2364,2.46731612,175657.6912,2.776849867
Rwanda,13197.4,26.41,0.2,68.88,0.52,153.64,1.16,410.19,3.11,786.3,5.96,1340.98,10.16,1731.99,13.12,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,213.5961037,1.61847109,346.0618868,2.622197454,393.0031156,2.977882883,477.4307025,3.617611822,494.7171295,3.748595402,529.2899835,4.010562561,563.8628375,4.272529721
Saint Kitts and Nevis,4112.06,108.38,2.64,311.72,7.58,539.1,13.11,870.66,21.17,1130.35,27.49,1416.92,34.46,1570.72,38.2,171.7,4.18,626.36,15.23,901.45,21.92,1254.07,30.5,1448.02,35.21,1656.09,40.27,1812.66,44.08,120.36,2.93,200.89,4.89,238.56,5.8,290.35,7.06,338.38,8.23,366.86,8.92,380.16,9.24,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Saint Lucia,3361.85,10.18,0.3,43.41,1.29,104.68,3.11,244.27,7.27,379.83,11.3,521.76,15.52,617.39,18.36,98.79,2.94,268.31,7.98,517.28,15.39,905.87,26.95,1132.52,33.69,1228.54,36.54,1324.56,39.4,128.23,3.81,325.7,9.69,475.82,14.15,693.24,20.62,825.77,24.56,981.39,29.19,1002.03,29.81,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Saint Vincent and the Grenadines,2645.41,3.95,0.15,14.41,0.54,38.34,1.45,118.99,4.5,231.07,8.73,378.14,14.29,470.96,17.8,20.78,0.79,92.02,3.48,118.77,4.49,395.71,14.96,517.39,19.56,621.94,23.51,656.16,24.8,58.48,2.21,186.09,7.03,462.32,17.48,591.05,22.34,615.93,23.28,665.69,25.16,715.44,27.04,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
San Marino,4049.35,11.69,0.29,36.98,0.91,81.53,2.01,205.21,5.07,362.63,8.96,565.93,13.98,696.67,17.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Sao Tome and Principe,2122.7,0.11,0.01,0.41,0.02,0.78,0.04,1.62,0.08,2.92,0.14,6.04,0.28,9.61,0.45,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Saudi Arabia,2141420,252.46,0.01,535.15,0.02,1018.31,0.05,2411.67,0.11,4442.71,0.21,7772.45,0.36,10415.59,0.49,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,129.1003065,0.006028724,347.962325,0.01624914,1136.626348,0.053078161,4855.561978,0.226744963,6958.780234,0.324961018,12635.11887,0.590034597,15196.47248,0.709644651
Senegal,35335.2,0.05,0,5.32,0.02,13.78,0.04,30.75,0.09,56.29,0.16,110,0.31,164.03,0.46,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,110.834493,0.313665956,238.0575,0.673712049,300.5010116,0.850429633,371.323394,1.050859749,401.7523772,1.136974963,462.6103435,1.309205392,477.9839568,1.352713319
Serbia,57317.2,107.49,0.19,240.64,0.42,419.88,0.73,813.14,1.42,1274.96,2.22,1840.14,3.21,2247.37,3.92,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,744.4187034,1.298770183,2339.3216,4.081360569,3498.169258,6.103175413,4449.533233,7.762998249,5238.035287,9.138679641,6144.348041,10.71990265,6573.11601,11.46796426
Seychelles,6234.98,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Sierra Leone,3031.82,---,---,0.73,0.02,1.72,0.06,3.9,0.13,7.16,0.24,14.07,0.46,20.67,0.68,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,75.6209526,2.494242818,123.6273084,4.0776599,128.9776665,4.254133377,145.028741,4.783553806,---,---,---,---,---,---
Singapore,1126580,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Slovakia,414783,146.91,0.04,294.37,0.07,522.31,0.13,1232.97,0.3,2367.37,0.57,4243.86,1.02,5742.33,1.38,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1927.38848,0.464673933,4985.906932,1.2020519,8928.423647,2.152552937,15001.58188,3.616730164,17058.55234,4.112645007,23187.39726,5.590247734,27881.89083,6.72204281
Slovenia,139900,359.01,0.26,1058.53,0.76,2270.52,1.62,5421.33,3.88,9093.68,6.5,13439.31,9.61,16194.2,11.58,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,29.43524408,0.021040203,193.1789928,0.138083626,529.7394929,0.37865582,1611.184569,1.151668741,3319.811941,2.372989236,5105.302658,3.649251363,6937.817526,4.95912618
Solomon Islands,3693.47,13.15,0.36,29.16,0.79,48.82,1.32,89.12,2.41,132.36,3.58,180.43,4.89,210.31,5.69,52.89,1.43,481.55,13.04,741.67,20.08,884.7,23.95,985.64,26.69,1022.88,27.69,1060.11,28.7,127.46,3.45,229.9,6.22,256.03,6.93,300.01,8.12,300.05,8.12,300.14,8.13,300.23,8.13,0.05,0,0.95,0.03,2.54,0.07,7.33,0.2,13.74,0.37,22.2,0.6,27.36,0.74,,,,,,,,,,,,,,
Somalia,6408.32,0.25,0,0.75,0.01,1.79,0.03,5.11,0.08,10.2,0.16,18.66,0.29,25.22,0.39,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,97.19190952,1.516651939,315.996712,4.931038275,379.3920417,5.920304257,418.419716,6.529319947,425.8326896,6.644997278,440.6586366,6.87635194,455.4845837,7.107706602
South Africa,1282850,1818.38,0.14,4404.29,0.34,7855.69,0.61,14900,1.16,21669.34,1.69,29601.72,2.31,35090.8,2.74,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,3471.574757,0.270614238,5042.377235,0.393060548,6285.982904,0.490001396,8199.191549,0.639138757,9367.991403,0.730248385,10556.34071,0.82288192,11744.69001,0.915515455
South Sudan,19958.3,9.01,0.05,29.13,0.15,67.74,0.34,169.06,0.85,286.92,1.44,423.39,2.12,511.99,2.57,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,206.9209406,1.036766361,466.6016583,2.337882777,579.1617602,2.901859177,727.2811172,3.644003333,834.0159958,4.178792762,971.5019585,4.867658861,1045.124866,5.236542521
Spain,6233960,143.29,0,342.6,0.01,681.14,0.01,1670.61,0.03,3082.76,0.05,5298.67,0.08,7045.89,0.11,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2719.397101,0.043622306,9813.189229,0.157415018,17318.52205,0.277809323,29777.62048,0.477667814,45659.07041,0.732424822,58308.40013,0.935334845,64493.58936,1.034552505
Sri Lanka,208274,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1.79,0,37.1,0.02,45.35,0.02,52.28,0.03,59.81,0.03,64.52,0.03,65.62,0.03,22.65,0.01,385,0.18,385,0.18,385.01,0.18,385.01,0.18,385.02,0.18,385.04,0.18,---,---,---,---,---,---,---,---,---,---,---,---,---,---,635.0150942,0.304894079,1195.354412,0.573933574,2050.523038,0.984531453,2734.105253,1.312744391,4016.81296,1.928619491,5045.796467,2.422672281,5307.199625,2.548181542
State of Palestine,69454.3,48.71,0.07,114.78,0.17,264.9,0.38,817.81,1.18,1673.84,2.41,3058.11,4.4,4179.21,6.02,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.450889975,0.000649189,1.205399457,0.001735529,1.532243218,0.002206117,6.963081267,0.010025414,9.51313405,0.013696969,15.29540745,0.022022261,27.41513864,0.039472198
Sudan,70368.8,2.25,0,6.05,0.01,16.02,0.02,45.65,0.06,102.96,0.15,229.41,0.33,348.2,0.49,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,808.6139387,1.149108609,1517.150182,2.155998372,2003.584868,2.847263089,2590.3854,3.681156137,2662.254916,3.783288781,2805.993948,3.987554069,2949.73298,4.191819357
Suriname,9620.16,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,277.3881501,2.883404747,603.5958983,6.274281283,753.033322,7.827659021,3121.369011,32.44612367,3736.438088,38.83966679,4885.864596,50.78776856,5531.1744,57.49565912
Swaziland,13701.2,14.71,0.11,31.02,0.23,62.15,0.45,152.53,1.11,290.68,2.12,529.84,3.87,724.61,5.29,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52.50508198,0.383215207,150.897092,1.10134216,193.611114,1.413096035,215.4923011,1.572798741,251.9609462,1.838969917,256.82,1.874434356,258.7191304,1.888295408
Sweden,1747500,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,166.280852,0.009515356,463.8505385,0.026543665,1652.231137,0.094548277,4285.511244,0.245236695,6143.153884,0.351539564,8368.55215,0.478887104,9972.164942,0.570653216
Switzerland,3421610,1471.66,0.04,3968.01,0.12,9082.43,0.27,25233.64,0.74,48712.3,1.42,83204.69,2.43,107666.66,3.15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,329.8623525,0.00964056,3731.46444,0.109055808,16777.25948,0.490332314,62094.30471,1.814768624,104738.7267,3.061094826,136252.2006,3.982107855,149572.3085,4.371401431
Syrian Arab Republic,204643,410.63,0.2,1102.77,0.54,2123.48,1.04,4406.94,2.15,6907.62,3.38,9961.83,4.87,12006.92,5.87,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,671.6955503,0.328227963,1221.198525,0.596745809,1581.711304,0.772912488,2094.8776,1.023674203,2719.196535,1.328751306,4284.566414,2.093678461,5023.704244,2.454862489
Taiwan,1680400,6623.21,0.39,14837.15,0.88,24720,1.47,43052.12,2.56,60744.96,3.61,80400,4.78,90931.79,5.41,10594.3,0.63,14313.72,0.85,16708.2,0.99,20736.6,1.23,21899.39,1.3,24224.98,1.44,26550.56,1.58,2748.16,0.16,3087.82,0.18,3603.04,0.21,3698.75,0.22,3858.27,0.23,4177.31,0.25,4496.34,0.27,---,---,---,---,4.53,0,128.05,0.01,968.9,0.06,3619.37,0.22,5823.47,0.35,---,---,---,---,10.08156553,0.00059995,949.8795202,0.056526989,6176.718257,0.367574283,13019.63525,0.774793814,21444.09281,1.276130255
Tajikistan,20536.9,158.31,0.77,333.92,1.63,542.49,2.64,939.1,4.57,1327.9,6.47,1790,8.72,2028.9,9.88,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,352.9248619,1.718491408,637.5973741,3.104642736,782.3744609,3.809603499,855.9943555,4.168079678,978.6941797,4.765539978,1040.496529,5.066473171,1062.956599,5.175837635
Thailand,1379000,46.84,0,223.53,0.02,545.06,0.04,1422.43,0.1,2630.3,0.19,4526.81,0.33,6017.14,0.44,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,10859.87358,0.787518026,19402.8506,1.407023249,28026.36893,2.03236903,34776.6594,2.521875228,37852.75246,2.744942166,41027.36368,2.975153276,44201.97489,3.205364387
The former Yugoslav Republic of Macedonia,32996.4,65.82,0.2,150.37,0.46,264.33,0.8,520.06,1.58,808.89,2.45,1210.3,3.67,1473.03,4.46,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,27.57049426,0.083556068,57.4480223,0.174103909,81.635095,0.247406066,173.6641844,0.52631252,227.3952248,0.689151619,362.9872973,1.100081516,517.4132334,1.568089954
Timor-Leste,12524.2,37.84,0.3,101.75,0.81,199.74,1.59,429.4,3.43,690.12,5.51,1040.81,8.31,1251.05,9.99,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.01,0,0.04,0,0.38,0,6.99,0.06,21.84,0.17,3.112184249,0.024849366,13.27789219,0.106017887,17.8181972,0.142270143,25.66741926,0.204942585,28.82681959,0.23016895,34.37155487,0.274441121,36.10085135,0.288248761
Togo,12513.7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,128.2199417,1.024636532,276.5878672,2.210280471,325.7931314,2.603491625,387.1882432,3.094114796,410.3598456,3.279284669,410.5144587,3.280520219,410.6690717,3.281755769
Tonga,1303.32,12.66,0.97,29.58,2.27,50.95,3.91,93.2,7.15,139.87,10.73,191.47,14.69,222.09,17.04,71.34,5.47,256.84,19.71,407.77,31.29,492.67,37.8,572.54,43.93,583.71,44.79,594.89,45.64,---,---,---,---,---,---,---,---,---,---,---,---,---,---,0.06,0,0.53,0.04,0.91,0.07,2.69,0.21,7.84,0.6,43.95,3.37,86.73,6.65,,,,,,,,,,,,,,
Trinidad and Tobago,68647.9,2757.7,4.02,6343.57,9.24,9997.55,14.56,14962.22,21.8,18869.87,27.49,23390.95,34.07,24921.83,36.3,12.04,0.02,122.66,0.18,233.25,0.34,1111.18,1.62,1348.61,1.96,1511.67,2.2,1579.18,2.3,29,0.04,219.04,0.32,305.64,0.45,446.76,0.65,563.32,0.82,595.65,0.87,627.98,0.91,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,18.29100996,0.026644675,74.69624373,0.108810676,280.0611661,0.407967565
Tunisia,178846,332.03,0.19,827.05,0.46,1505.29,0.84,2985.79,1.67,4686.17,2.62,6833.9,3.82,8439.94,4.72,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,55.00835434,0.030757386,294.8888317,0.16488422,384.6302999,0.215062288,1078.487129,0.60302558,1740.395708,0.973125319,2692.718861,1.50560754,3109.940584,1.738893005
Turkey,1947250,5287.15,0.27,10276.28,0.53,15838.39,0.81,25986.42,1.33,35580.85,1.83,47207.75,2.42,55465,2.85,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,1501.495088,0.077108491,2669.168448,0.137073742,3775.342704,0.19388074,6688.527944,0.343485836,8093.809476,0.41565333,10174.96189,0.522529819,12589.69444,0.646537139
Turkmenistan,36127,54.55,0.15,132.69,0.37,236.19,0.65,449.44,1.24,678.85,1.88,946.68,2.62,1138.79,3.15,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,497.965024,1.378373582,761.9001063,2.10894928,1004.149266,2.779498066,1456.784954,4.032399464,1646.91595,4.558684501,1649.689809,4.56636258,1652.463669,4.57404066
Turks and Caicos Islands,1049.28,0.17,0.02,0.32,0.03,0.57,0.05,1.33,0.13,2.67,0.25,5.28,0.5,7.77,0.74,103.6,9.87,377.63,35.99,524.11,49.95,602.15,57.39,648.87,61.84,742.31,70.74,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Tuvalu,123.265,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,,,,,,,,,,,,,,
Uganda,43697.1,52.06,0.12,142.64,0.33,295.17,0.68,688.66,1.58,1153.69,2.64,1764.61,4.04,2194.61,5.02,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,185.5269532,0.424574979,279.9129189,0.640575505,421.9393636,0.96560038,554.9418564,1.269974109,692.3370436,1.584400437,717.83805,1.642759016,717.9901375,1.643107066
Ukraine,676834,27.83,0,66.45,0.01,123.4,0.02,263.8,0.04,437.91,0.06,684.23,0.1,866.72,0.13,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,5254.060176,0.776270131,8022.269551,1.185263972,10294.09055,1.520918062,16193.74436,2.392572531,24386.7676,3.603064799,27632.94469,4.0826768,30879.12178,4.562288801
United Arab Emirates,1282120,1275.09,0.1,3374.07,0.26,6915.89,0.54,16058.83,1.25,27700,2.16,43155.09,3.37,53892.28,4.2,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,217.5224857,0.016965845,365.6500446,0.028519175,516.8116,0.040309144,81838.60516,6.38306907,92387.57729,7.205844796,115721.1928,9.025769261,141964.357,11.07262635
United Kingdom of Great Britain and Northern Ireland,7806800,2655.09,0.03,8721.12,0.11,17441.66,0.22,38726.63,0.5,65664.67,0.84,104120.31,1.33,132965.65,1.7,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,2062.634297,0.026420996,5124.300895,0.065638942,11445.71253,0.146612089,30519.91062,0.390940086,47121.75424,0.60359884,62838.23885,0.804916725,73021.52238,0.935357924
United Republic of Tanzania,50142.8,72.63,0.14,195.2,0.39,360.96,0.72,696.33,1.39,1049.94,2.09,1517.17,3.03,1858.88,3.71,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,209.9797301,0.418763472,271.6639365,0.541780548,318.426228,0.635038785,370.582612,0.739054484,419.4434848,0.836497931,524.7829213,1.046576819,819.1620327,1.633658337
United States of America,54922500,345.5,0,687.97,0,1056.66,0,1694.65,0,2293.49,0,2987.69,0.01,3507.55,0.01,82084.94,0.15,165837.16,0.3,217870.83,0.39,262718.45,0.48,293927.1,0.53,316953.44,0.57,339979.77,0.61,27440.6,0.05,48590.06,0.09,87253.88,0.16,128149.29,0.23,137090.39,0.25,154972.59,0.28,168073.68,0.31,---,---,---,---,---,---,---,---,---,---,---,---,---,---,19257.52406,0.035063087,49445.7167,0.090028161,95771.22263,0.174375206,215570.1399,0.392498775,291807.101,0.531307025,340803.115,0.620516391,382600.8152,0.696619446
