country,hazard,rp,income_cat,fa,v
Algeria,tsunami,1500.0,nonpoor,,0.10000000000000002
Algeria,tsunami,1500.0,poor,,0.5503924
Algeria,tsunami,2000.0,nonpoor,,0.10000000000000002
Algeria,tsunami,2000.0,poor,,0.5503924
Algeria,wind,1.0,nonpoor,,0.10000000000000002
Algeria,wind,1.0,poor,,0.5503924
Algeria,wind,20.0,nonpoor,,0.10000000000000002
Algeria,wind,20.0,poor,,0.5503924
Algeria,wind,50.0,nonpoor,,0.10000000000000002
Algeria,wind,50.0,poor,,0.5503924
Algeria,wind,100.0,nonpoor,,0.10000000000000002
Algeria,wind,100.0,poor,,0.5503924
Algeria,wind,250.0,nonpoor,,0.10000000000000002
Algeria,wind,250.0,poor,,0.5503924
Algeria,wind,500.0,nonpoor,,0.10000000000000002
Algeria,wind,500.0,poor,,0.5503924
Algeria,wind,1000.0,nonpoor,,0.10000000000000002
Algeria,wind,1000.0,poor,,0.5503924
Algeria,wind,1500.0,nonpoor,,0.10000000000000002
Algeria,wind,1500.0,poor,,0.5503924
Algeria,wind,2000.0,nonpoor,,0.10000000000000002
Algeria,wind,2000.0,poor,,0.5503924
Angola,earthquake,1.0,nonpoor,1.997520061194324e-05,0.6
Angola,earthquake,1.0,poor,1.997520061194324e-05,0.6999999999999997
Angola,earthquake,20.0,nonpoor,0.00010321893673918453,0.6
