country,hazard,rp,fa
Azerbaijan,earthquake,1500.0,0.2825571300132055
Azerbaijan,earthquake,2000.0,0.30309201786038675
Azerbaijan,earthquake,4000.0,0.35276304965235084
Azerbaijan,earthquake,5000.0,0.36640555873446556
Azerbaijan,earthquake,30000.0,0.5635881273189788
Azerbaijan,flood,2.0,0.0
Azerbaijan,flood,3.0,5.1255832827209765e-06
Azerbaijan,flood,5.0,0.00012232746709103334
Azerbaijan,flood,10.0,0.0016516089782906333
Azerbaijan,flood,20.0,0.0047299783352317114
Azerbaijan,flood,50.0,0.011432772567560713
Azerbaijan,flood,100.0,0.019284676165872986
Azerbaijan,flood,250.0,0.023750122755481107
Azerbaijan,flood,500.0,0.03358254389603899
Azerbaijan,flood,1000.0,0.04793006499004803
Azerbaijan,flood,1500.0,0.05833783571135323
Azerbaijan,flood,2000.0,0.06492610028662966
Azerbaijan,flood,4000.0,0.07811318724786269
Azerbaijan,flood,5000.0,0.08176755864159793
Azerbaijan,flood,30000.0,0.10072718040181258
Bangladesh,earthquake,0.5,5.670609593025586e-06
Bangladesh,earthquake,1.0,8.208651168393117e-06
Bangladesh,earthquake,1.5,9.208517224790564e-06
Bangladesh,earthquake,2.0,1.2659327080746368e-05
Bangladesh,earthquake,3.0,3.526141493999408e-05
Bangladesh,earthquake,5.0,0.00017507560492251704
Bangladesh,earthquake,10.0,0.0013282074219030228
Bangladesh,earthquake,20.0,0.0037549920160589376
Bangladesh,earthquake,50.0,0.011462777563135242
Bangladesh,earthquake,100.0,0.022512865225150586
Bangladesh,earthquake,250.0,0.04526609676957577
Bangladesh,earthquake,500.0,0.06813593023284528
Bangladesh,earthquake,1000.0,0.09903533083034577
Bangladesh,earthquake,1500.0,0.11793921401328987
Bangladesh,earthquake,2000.0,0.12810979339533507
Bangladesh,earthquake,4000.0,0.16510387150847455
Bangladesh,earthquake,5000.0,0.1757218435094589
Bangladesh,earthquake,30000.0,0.24560430260118657
Bangladesh,flood,1.5,6.851885138277261e-05
Bangladesh,flood,2.0,0.0010083414309637146
Bangladesh,flood,3.0,0.0063107615333315515
Bangladesh,flood,5.0,0.019254403989880646
Bangladesh,flood,10.0,0.060613854144040386
Bangladesh,flood,20.0,0.11149283044467241
Bangladesh,flood,50.0,0.17082228917434875
Bangladesh,flood,100.0,0.2342275150596545
Bangladesh,flood,250.0,0.2898554056768345
Bangladesh,flood,500.0,0.4095092588530992
Bangladesh,flood,1000.0,0.45592633332136956
Bangladesh,flood,1500.0,0.5030960464918952
Bangladesh,flood,2000.0,0.5267420100653365
Bangladesh,flood,4000.0,0.5647663379175414
Bangladesh,flood,5000.0,0.5734883695425235
Bangladesh,flood,30000.0,0.610364074386643
Bangladesh,surge,1.0,0.0
Bangladesh,surge,1.5,0.0
Bangladesh,surge,2.0,2.286959446741623e-08
Bangladesh,surge,3.0,2.0716924464568058e-05
