country,gdp_pc_pp,pop,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Kazakhstan,23419.9055774,17797032.0,0.5322899999999999,7510.07720866,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.3305707553557686,1.0,0.04897630331333001
Kenya,2925.60091711,48461567.0,0.26055,1455.35976536,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.46296027315172006,1.0,0.07103708368413089
Kiribati,1897.81234732,114395.0,0.44447,1449.05823117,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.28394957983193275,1.0,0.087993241956081
"Korea, Rep.",34985.849333499995,51245707.0,0.8259200000000001,27538.8061282,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.2367936221973808,1.0,0.17583638247439567
Kyrgyz Republic,3291.96824336,6082700.0,0.3585,1077.03617433,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.5202256666410198,1.0,0.27496204138228997
Lao PDR,5734.58657172,6758353.0,0.39654,2353.15287465,3.0,0.2,1.5,0.06,0.8,0.05,0.4,2,0.2472988860728427,1.0,0.1261652674673312
Latvia,23712.0907801,1960424.0,0.67361,14118.063906799998,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.2393699080806075,1.0,0.25576871599999995
Lebanon,12974.1654544,6006668.0,0.8791399999999999,7914.00467748,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.1676576124167707,1.0,0.09447941713946045
Lesotho,2808.23632967,2203821.0,0.2784,998.134371558,3.0,0.2,1.5,0.06,0.8,0.05,0.4,2,0.1992120956582078,1.0,0.08184535892213125
Liberia,753.5573790489999,4613823.0,0.501,455.370741357,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.4725120712732518,1.0,0.12457910978658761
Lithuania,27904.096250900002,2872298.0,0.6651199999999999,14879.680299000001,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.3129644244946807,1.0,0.34447651999999995
Luxembourg,97018.6636397,582972.0,0.9043200000000001,102831.321483,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.24723066038615737,1.0,0.38757304865799996
"Macedonia, FYR",13054.776967299998,2081206.0,0.57204,5237.14767046,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.2639321665831752,1.0,0.26690001157885823
Madagascar,1396.0917342,24894551.0,0.35741,401.318870069,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.2940729838426214,1.0,0.09294873089347729
Malawi,1083.97019632,18091575.0,0.16454000000000002,300.794825113,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.25307656921941635,1.0,0.0233205281551942
Malaysia,25660.4598532,31187265.0,0.7537,9502.56839625,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.2505940745612133,1.0,0.0618437429965722
Maldives,12235.5464664,417492.0,0.4654,8601.63248838,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.326357971697339,1.0,0.0174408634474848
Mali,1962.69087403,17994837.0,0.40683,780.507110878,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.6438448659589122,1.0,0.050727899018204
Mauritania,3572.28055033,4301018.0,0.60446,1077.55613626,3.0,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,2,0.23810597085800642,1.0,0.08623568673716654
Mauritius,19548.638516799998,1263473.0,0.39548,9627.59578522,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.29481279169257346,1.0,0.33329699744448
Mexico,16831.1247258,127540423.0,0.7951699999999999,8201.30625288,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.36826304497677287,1.0,0.2770392250399771
Moldova,4944.33566121,3552000.0,0.45088999999999996,1900.20147935,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.25670477375728673,1.0,0.369666655034424
Mongolia,11328.475735799999,3027398.0,0.72823,3686.45169811,3.0,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,2,0.20767487925071607,1.0,0.231743844057895
Montenegro,15658.113213100001,622781.0,0.64223,6701.00008024,3.0,0.2,1.5,0.06,0.8,0.05,0.0,2,0.3648966623915853,1.0,0.333551626949795
Morocco,7265.84707894,35276786.0,0.60685,2832.42977714,3.0,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,2,0.26925696721882303,1.0,0.1346798379019344
Myanmar,5351.5548029,52885223.0,0.3465,1275.01760815,3.0,0.2,1.5,0.06,0.8,0.05,0.4666666666666667,2,0.7219105979677607,1.0,0.07714791295185223
Namibia,9812.40862857,2479713.0,0.47625,4140.46193249,3.0,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,2,0.2751726819797061,1.0,0.13641259576875192
Nepal,2287.72326468,28982771.0,0.18995,729.532501133,3.0,0.2,1.5,0.06,0.8,0.05,0.6,2,0.2701993002713125,1.0,0.28421979706782396
Netherlands,47128.3107892,17018408.0,0.91032,45294.7799954,3.0,0.2,1.5,0.06,0.8,0.05,0.8,2,0.25251989485705195,1.0,0.34084666104000005
