country,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood
Georgia,6930.291380152889,4487200.0,0.53641,0.6666666666666667,0.6166666666666667,0.3632651483124993,3,0.2,1.5,0.06,0.8,0.05,0.08371570212028312,1.0,0.5660634998212936,0.8,0.2,8205.464994101021,1829.5969243603624,0.01637902,0.0015679239999999998,1.1353639604079409,0.4585441583682364,23798.476511879282,194.97742157770614,0.06829700246764614,0.0690760276414796,0.201292325,0.5390769999999999,0.4800000000000001,0.4800000000000001,0.6000000000000001,0.014160348517311969,0.003382710764141504,0.0,0.0,0.0,0.0035623026298605013,0.0
Germany,42883.6868079517,80651873.0,0.7530100000000001,0.8,0.9166666666666669,0.2730174463967501,3,0.2,1.5,0.06,0.8,0.05,0.0720767912654576,1.0,0.4049132369473,0.8,0.2,49160.78646446564,17775.288181895976,0.5140285,0.5698233,1.0852424705587416,0.6590301177650334,186598.28213087856,38972.191054505296,0.01103689481597762,0.011786009378624573,0.24072669375,0.2999999999999999,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0006329725470159218,0.0005553654400348931,0.0,0.0,0.0,0.0006141508557547988,0.0
Ghana,3864.0307887795,25904598.0,0.54042,0.8,0.5416666666666667,0.4079350165763704,3,0.2,1.5,0.06,0.8,0.05,0.02593631168825569,1.0,0.12097573686150866,0.8,0.2,4576.944469309317,1012.3760666602292,0.2401777,0.04551203,1.1320659882256563,0.4717360470973744,11288.141556069399,2208.2955768091133,0.0042429409778092075,0.00508111370326911,0.6973988599523725,0.6999999999999997,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0,0.0012319848173425638,0.0,0.0,0.0,0.0014753575339270905,0.0
Greece,24305.0596068933,11027549.0,0.7800699999999999,0.8,0.4666666666666667,0.2367917503163358,3,0.2,1.5,0.06,0.8,0.05,0.017597576249905544,1.0,0.489303145719,0.8,0.2,28421.72907781085,7838.3817232230895,0.2479624,0.12937169999999998,1.1866287800772544,0.2534848796909825,118331.58097592075,39889.6047429778,0.06895673587689853,0.06910096725359356,0.14181598750000002,0.44601326,0.8,0.8,1.0,0.02679107249944737,0.0002176244836335146,0.0,0.0,0.0,0.00024066002891415402,0.0
Guatemala,7062.530674821691,15468203.0,0.51571,0.4666666666666667,0.5833333333333333,0.6475627728005022,3,0.2,1.5,0.06,0.8,0.05,0.032325331712589875,1.0,0.10915112423213616,0.8,0.2,8486.513422132613,1366.599685577997,0.1347752,0.05336335,1.15282868716903,0.3886852513238788,13170.520237481996,1849.54881222234,0.06561194275027614,0.0717074279965337,0.09999999999999998,0.5837106449697208,0.3200000000000002,0.3200000000000002,0.4000000000000001,0.03418007124068317,0.002453485049144605,0.0,0.0,0.0,0.004169369786515859,0.0
Guinea,1212.8881328330199,11745189.0,0.37161,0.6,0.3333333333333333,0.3510694892836516,3,0.2,1.5,0.06,0.8,0.05,0.02160955117769452,1.0,0.0731653252091149,0.8,0.2,1401.6438485051588,457.865270144465,0.02541692,0.01277901,1.225166522482532,0.09933391006987224,3973.53093991965,1380.0651097085886,0.008006102984557749,0.009980426431898877,0.6849999999999998,0.6999999999999997,0.4800000000000001,0.4800000000000001,0.6000000000000001,4.799171659516166e-05,0.002470245056787629,0.0,0.0,0.0,0.003135439796048327,0.0
Honduras,4445.2710541232,8097688.0,0.5473,0.33333333333333337,0.5666666666666667,0.3635926941047578,3,0.2,1.5,0.06,0.8,0.05,0.04325052661464394,1.0,0.13798710358389835,0.8,0.2,5411.56184951323,580.1078725630776,0.118058,0.0431121,1.18900583592536,0.2439766562985595,14939.103102149538,1373.4057395414625,0.0573317752634605,0.059076860506754876,0.391375828971834,0.6999999999999998,0.3200000000000002,0.3200000000000002,0.4000000000000001,0.021702621559118555,0.00325704289991853,0.00010407376683257418,0.0,0.0006739326368108093,0.0038024852948578586,0.031953452880579936
Hungary,22706.6118964343,9893899.0,0.7122700000000001,0.8666666666666666,0.6666666666666667,0.22126941170098394,3,0.2,1.5,0.06,0.8,0.05,0.09877804612886447,1.0,0.5576027275000001,0.8,0.2,26041.645518723086,9366.477407279148,0.22392620000000002,0.0918939,1.0812699418691418,0.674920232523432,126177.59104915091,8388.389984549309,0.03536535175732074,0.04364063867501776,0.435105,0.6999999999999998,0.8,0.8,1.0,0.0004793210941147616,0.00519782954473912,0.0,0.0,0.0,0.006502360973180587,0.0
India,5243.95705971261,1252139596.0,0.32747,0.8666666666666666,0.775,0.4525301642355351,3,0.2,1.5,0.06,0.8,0.05,0.08479572786387997,1.0,0.11920598623120796,0.8,0.2,5995.15390851644,2239.1696644972844,0.1227241,0.10608599999999999,1.0696173975783871,0.721530409686452,13363.555428814087,4486.192804638613,0.005365212361276088,0.005733797041249924,0.52231544875,0.6999999999999998,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.0001440030026981582,0.0019697776031201947,0.0002298049106392479,0.0,0.00037421754439827726,0.002167416843612726,0.11666540947324672
Indonesia,9254.42217970391,249865631.0,0.53742,0.6666666666666667,0.6083333333333334,0.30997681866727844,3,0.2,1.5,0.06,0.8,0.05,0.0644947034323651,1.0,0.12573012643233533,0.8,0.2,10685.387209240624,3530.562061557041,0.2072208,0.07181267,1.074307632268649,0.7027694709254045,34816.41330339237,10010.383289621097,0.022968880027760544,0.022595337649891373,0.19760155,0.3,0.6400000000000003,0.6400000000000003,0.8000000000000002,0.001921248681462394,0.0036162625199436683,6.560592799062107e-05,8.289184148207837e-05,0.0,0.00349811982179539,0.018141915203557464
