country,gdp_pc_pp,gdp_pc_pp_A,pop,share1,urbanization_rate,gdp_pc_cd,T_rebuild_K,pi,income_elast,rho,shareable,max_increased_spending,prepare_scaleup,borrow_abi,avg_prod_k,protection,tau_tax
Niger,914.4670358,906.9925206,20672987,0.078,0.1901,363.22697389999996,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.3333333333333333,0.23359231685535525,1.0,0.06174399834999999
Nigeria,5434.734795,5438.922711,185989640,0.054000000000000006,0.48596999999999996,2177.98517,1,0.2,1.5,0.06,0.8,0.05,0.8,0.5791666666666667,0.8736444729486806,1.0,0.011058322492000002
Norway,64139.54705,63810.78642999999,5232929,0.09,0.80734,70812.47742000001,1,0.2,1.5,0.06,0.8,0.05,0.8,1.0,0.3359516873480029,1.0,0.31478739097999997
Pakistan,4854.632259,4866.163456,193203476,0.092,0.39224000000000003,1468.1929460000001,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.5541666666666667,0.3767173581299691,1.0,0.13074179219600002
Panama,21334.93968,21334.93968,4034119,0.033,0.66895,13680.236009999999,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.5402427160644628,1.0,0.11694564732299999
Papua New Guinea,3878.287729,2620.882403,8084991,0.051,0.13039,2182.7165649999997,1,0.2,1.5,0.06,0.8,0.05,0.4,0.4,0.32518120719724364,1.0,0.0015386210889999999
Paraguay,8871.37954,8877.606645,6725308,0.045,0.59924,4080.204644,1,0.2,1.5,0.06,0.8,0.05,0.8,0.6541666666666667,0.3682732130696673,1.0,0.151355935455
Peru,12071.59238,12071.59238,31773839,0.046,0.7892399999999999,6045.650077,1,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.27019867536419195,1.0,0.20005918213799997
Philippines,7236.467070999999,7236.467070999999,103320222,0.066,0.44288999999999995,2951.0719289999997,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,1.0,0.27365718828027585,1.0,0.225506335732
Poland,26035.8379,26003.01339,37948016,0.081,0.60531,12372.41706,1,0.2,1.5,0.06,0.8,0.05,0.6,0.7791666666666667,0.41320263199936846,1.0,0.496841161
Portugal,27102.6637,27006.87428,10324611,0.067,0.64017,19813.30825,1,0.2,1.5,0.06,0.8,0.05,0.8,0.6916666666666667,0.19024226740462855,1.0,0.46228383111999993
Romania,21614.68624,21647.808930000003,19705301,0.085,0.5474899999999999,9474.130604,1,0.2,1.5,0.06,0.8,0.05,0.6,0.6916666666666667,0.2677480378213938,1.0,0.422750545
Russian Federation,24416.623880000003,24026.00492,144342396,0.069,0.7410100000000001,8748.364504000001,1,0.2,1.5,0.06,0.8,0.05,0.0,0.2625,0.3491630039272151,1.0,0.214862919584
Rwanda,1773.750484,1773.750484,11917508,0.052000000000000005,0.29775,702.8356016,1,0.2,1.5,0.06,0.8,0.05,0.8,0.49583333333333335,0.712577817249879,1.0,0.076663551784
Senegal,2379.4512640000003,2380.3869170000003,15411614,0.061,0.44065,958.0737379000001,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,0.5333333333333333,0.22621011201636318,1.0,0.21137062376700003
Serbia,13720.89089,13720.087230000001,7057412,0.09,0.5566800000000001,5348.294064,1,0.2,1.5,0.06,0.8,0.05,0.6,1.0,0.2201204533701086,1.0,0.37120505188999997
Seychelles,26319.15863,26319.15863,94677,0.054000000000000006,0.54214,15075.71944,1,0.2,1.5,0.06,0.8,0.05,0.6666666666666667,1.0,0.21854769867246696,1.0,0.1471370531469783
Sierra Leone,1368.8290980000002,1365.865943,7396190,0.079,0.40318000000000004,496.0494634,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.3333333333333333,0.4068659912801502,1.0,0.029931397318000003
Slovak Republic,29212.3782,29156.093910000003,5428704,0.085,0.53468,16495.987680000002,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6375,0.30590188604179597,1.0,0.3929439589699999
Slovenia,29930.03704,29803.44962,2064845,0.096,0.49627,21304.57016,1,0.2,1.5,0.06,0.8,0.05,0.8666666666666666,0.7541666666666667,0.2213378830398852,1.0,0.363613082
Solomon Islands,2072.710578,2072.710578,599419,0.07,0.22779000000000002,2005.483643,1,0.2,1.5,0.06,0.8,0.05,0.5333333333333333,0.375,0.2968860005415652,1.0,0.06646077489999999
South Africa,12236.83195,12260.16535,55908865,0.024,0.65295,5273.593879999999,1,0.2,1.5,0.06,0.8,0.05,0.7333333333333333,0.6791666666666667,0.41221819094326817,1.0,0.168139028992
Spain,33320.035110000004,33261.07934,46443959,0.057999999999999996,0.79802,26528.49179,1,0.2,1.5,0.06,0.8,0.05,0.8,0.7541666666666667,0.18299929671374224,1.0,0.43403886243600004
