country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
El Salvador,nonpoor,0.8,9378.259279265214,0.2072156,1.1842239642310897,69707.73362479819,0.019294800390513407,0.6000000000000002
El Salvador,poor,0.2,2436.94916308915,0.0411891,0.2631041430756419,18762.3483712452,0.01989022942582844,0.6000000000000002
Estonia,nonpoor,0.8,32242.0985227575,0.3648965,1.124262798577627,117263.29038043041,0.016164342199388688,0.0
Estonia,poor,0.2,9707.298479970003,0.24340720000000002,0.5029488056894922,26110.370101598746,0.016771411679658756,0.0
Ethiopia,nonpoor,0.8,1849.5374975379998,0.1639884,1.1221015847367732,4904.4955287892635,0.010390215366073235,0.8000000000000004
Ethiopia,poor,0.2,643.317390448,0.09488185,0.5115936610529067,1649.205370563747,0.006831620932564055,0.8000000000000004
Fiji,nonpoor,0.8,10236.465211168352,0.6,1.1102926177871453,30631.446480698156,0.14804890405085874,1.0
Fiji,poor,0.2,3367.8413681765996,0.6,0.5588295288514186,9305.687526251095,0.1437677941103681,1.0
France,nonpoor,0.8,43767.70400243999,0.5990517,1.1212938521365174,198942.78641981448,0.01597710351134178,1.0
France,poor,0.2,15223.549218239998,0.4053758,0.5148245914539307,55851.42658841798,0.017395891378546493,1.0
Gabon,nonpoor,0.8,19765.512661955996,0.24289940000000002,1.1241142574995753,60303.84713289953,0.023628525002012936,0.2000000000000001
Gabon,poor,0.2,4867.939424176,0.08577912,0.503542970001699,13185.466936102497,0.048917331168081744,0.2000000000000001
Georgia,nonpoor,0.8,10877.492205639825,0.008063393,1.118400176742019,31812.957238247283,0.06039192664612303,0.6000000000000002
Georgia,poor,0.2,2826.5261961407,0.01164885,0.526399293031923,303.7464550843273,0.061080783103270184,0.6000000000000002
Germany,nonpoor,0.8,50628.16049092812,0.6140809,1.0888215846179425,192008.27600098483,0.009803258551787956,0.8000000000000004
Germany,poor,0.2,17849.318823787497,0.5265064,0.6447136615282295,39101.98459867339,0.010496115355671336,0.8000000000000004
Ghana,nonpoor,0.8,4706.588990427775,0.2321198,1.0061650232229964,11898.036148229645,0.0037715030913859633,0.8000000000000004
Ghana,poor,0.2,1074.6545686389,0.1174127,0.9753399071080148,1192.6121003678438,0.004516545514016986,0.8000000000000004
Greece,nonpoor,0.8,28540.386646177998,0.16323,1.1921053678127638,118969.01309325025,0.06235123548614488,1.0
Greece,poor,0.2,7157.844047288,0.0654293,0.2315785287489438,36470.304583804,0.06248696275522348,1.0
Guatemala,nonpoor,0.8,8803.288333038348,0.2047981,1.0959846841569547,13641.004367080885,0.05832172688913437,0.4000000000000002
Guatemala,poor,0.2,1620.6890654966,0.06985804,0.6160612633721801,2316.7112344018956,0.06373993599691888,0.4000000000000002
Guinea,nonpoor,0.8,1403.354310204,0.044386400000000006,1.2249920962121819,3978.2547866122854,0.00807990587478559,0.6000000000000002
Guinea,poor,0.2,461.70964318399996,0.0054247290000000005,0.10003161515127153,1391.608767517811,0.009834856213585992,0.6000000000000002
