country,income_cat,n,c,axfin,gamma_SP,k,fa,shew
Maldives,nonpoor,0.8,16650.8949321,0.55,1.1071391444825833,51068.99797327456,0.0006266171021001831,0.4000000000000002
Maldives,poor,0.2,4554.090921600001,0.55,0.571443422069666,13759.65246367845,0.0006266171021001831,0.4000000000000002
Mali,nonpoor,0.8,2266.747152,0.04243126,1.2014434727965169,3512.22571522774,0.04333605245039694,0.6000000000000002
Mali,poor,0.2,788.4337919999999,0.008713539000000001,0.19422610881393249,1258.235428250976,0.02408655307038008,0.6000000000000002
Malta,nonpoor,0.8,40793.071825825,0.5080592,1.0909121012330236,187100.18177255176,0.010780463121445438,0.0
Malta,poor,0.2,15353.191146699995,0.2980542,0.6363515950679048,48885.68486603849,0.010780463121445438,0.0
Mauritania,nonpoor,0.8,4130.4493859375,0.1524401,1.1747092302200512,17320.96321037823,0.03701726078704009,0.6000000000000002
Mauritania,poor,0.2,1339.6052062499998,0.03751141,0.30116307911979445,5730.657234135603,0.040938159295606215,0.6000000000000002
Mauritius,nonpoor,0.8,22649.369281449995,0.4367753,1.1391575970056007,77434.89418930573,0.022418060048886124,0.8000000000000004
Mauritius,poor,0.2,7239.971174200001,0.2319739,0.44336961197759694,22123.392072241826,0.02299329572790916,0.8000000000000004
Mexico,nonpoor,0.8,19841.265808400003,0.19560479999999997,1.1178785755167964,54952.226130935436,0.005783104369089118,0.8000000000000004
Mexico,poor,0.2,4797.2519664,0.07032508,0.528485697932815,8729.68045783933,0.005542042102289971,0.8000000000000004
Moldova,nonpoor,0.8,5562.449654625,0.09047662,1.0877014059443781,22090.650519342467,0.026099384793537024,0.6000000000000002
